STATE,COUNTY,B20004_006E,B20004_003E,B20004_001E,STATE_NAME,B23013_001E,B23020_001E,B19083_001E,B22008_003E,B22008_002E,B25058_001E,B25071_001E,B25077_001E,tract_count,top5_count,top5_pct,consistently_missing
26,33,0.0622,0.1817,0.511,Michigan,0.5846,0.5362,0.812,0.74,0.0507,0.3435,0.537,0.562,16,9,0.82,False
37,173,0.0332,0.1938,0.545,North Carolina,0.6236,0.572,0.5197,0.4736,0.0271,0.2199,0.3437,0.3597,5,9,0.82,False
51,155,0.0497,0.1938,0.545,Virginia,0.6236,0.572,0.5197,0.4736,0.0676,0.2199,0.3437,0.3597,10,9,0.82,False
51,1,0.0553,0.323,0.9083,Virginia,1.0392,0.9532,0.8661,0.7893,0.0676,0.3664,0.5728,0.5994,12,9,0.82,False
12,65,0.0415,0.2423,0.6813,Florida,0.7795,0.715,0.6496,0.592,0.0338,0.2748,0.4296,0.4496,4,9,0.82,False
26,13,0.0553,0.323,0.9083,Michigan,1.0392,0.9532,0.8661,0.7893,0.0451,0.3664,0.5728,0.5994,3,9,0.82,False
26,95,0.0829,0.4846,1.3626,Michigan,1.5589,1.4299,1.2992,1.184,0.0676,0.5497,0.8592,0.8992,4,9,0.82,False
24,35,0.0355,0.2077,0.584,Maryland,0.6682,0.6129,0.5568,0.5075,0.0773,0.2356,0.3683,0.3854,14,9,0.82,False
15,1,0.073,0.3489,0.9265,Hawaii,1.0601,0.9723,0.8835,0.8051,0.0704,0.3738,0.5843,0.6115,50,9,0.82,False
26,11,0.0711,0.2769,0.7786,Michigan,0.8908,0.8171,0.7424,0.6765,0.0387,0.3141,0.491,0.5138,7,9,0.82,False
2,198,0.0415,0.2423,0.6813,Alaska,0.7795,0.715,0.6496,0.592,0.0338,0.2748,0.4296,0.4496,4,9,0.82,False
12,129,0.0332,0.1938,0.545,Florida,0.6236,0.572,0.5197,0.4736,0.0541,0.2199,0.3437,0.3597,5,9,0.82,False
